A- 	not, without
Writing-paper	Paper for writing
Writing-paper	on.
Written	Of *write.
Wrns	Women's royal naval service.
Wrong	mistaken; not true; in error.
Wrong	unsuitable; less or least desirable
Wrong	contrary to law or morality
Wrong	amiss; out of order, in a bad or abnormal condition
Wrong	in a wrong manner or direction; with an incorrect result
Wrong	what is morally wrong.
Wrong	unjust action
Wrong	treat unjustly.
Wrong	mistakenly attribute bad motives to.
Wrong	misunderstand
Wrong	obtain an incorrect answer to. Get
Wrong	the wrong end of the stick misunderstand completely. Go wrong
Wrong	take the wrong path.
Wrong	stop functioning properly.
Wrong	depart from virtuous behaviour. In the wrong responsible for a quarrel, mistake, or offence. On the wrong side of
Wrong	out of favour with
Wrong	somewhat more than
Wrong	. Wrong side out inside out. Wrong way round in the opposite or reverse of the normal or desirable orientation or sequence etc.
Wrong	Wrongness
Wrongdoer	Person who behaves immorally or illegally.
Wrong-foot	Catch
Wrong-foot	off balance.
Wrong-foot	disconcert; catch unprepared.
Wrongful	Unwarranted, unjustified
Wrong-headed	Perverse and obstinate.
Wrong side	Worse or undesired or unusable side of esp. Fabric.
Wroth	angry.
Wrought	past and
Wrought	Of *work.
Wrought	beaten out or shaped by hammering.
Wrought iron	Tough malleable form of iron suitable for forging or rolling, not cast.
Wrvs	Women's royal voluntary service.
Wry	distorted or turned to one side.
Wry	Contorted in disgust, disappointment, or mockery.
Wry	dry and mocking.
Wry	Wryness
Wryneck	Small woodpecker able to turn its head over its shoulder.
Wsw	West-south-west.
Wt	Weight.
Wych-	Form in names of trees with pliant branches
Wykehamist	Of winchester college.
Wykehamist	Past or present member of winchester college.
Wysiwyg	computing denoting a form of text onscreen exactly corresponding to its printout.
X1	twenty-fourth letter of the alphabet.
X1	ten.
X1	algebra first unknown quantity.
X1	unknown or unspecified number or person etc.
X1	cross-shaped symbol used esp. To indicate position
X1	or incorrectness, or to symbolize a kiss or a vote, or as the signature of a person who cannot write.
X2	classified as suitable for adults only.
X chromosome	sex chromosome of which the number in female cells is twice that in male cells.
Xe	Xenon.
Xenon	Heavy inert gaseous element.
Xenophobia	Hatred or fear of foreigners.
Xerography	Dry copying process in which powder adheres to areas remaining electrically charged after exposure of the surface to light from an image of the document to be copied.
Xerox	Propr.
Xerox	machine for copying by xerography.
Xerox	copy thus made.
Xerox	reproduce by this process.
Xi	Fourteenth letter of the greek alphabet
X-ray	(in
X-ray	) Electromagnetic radiation of short wavelength, able to pass through opaque bodies.
X-ray	photograph made by x-rays, esp. Showing the position of bones etc. By their greater absorption of the rays.
X-ray	Photograph, examine, or treat with x-rays.
Xylem	Bot. Woody tissue.
Xylophone	Musical instrument of graduated wooden or metal bars struck with small wooden hammers.
Y1	twenty-fifth letter of the alphabet.
Y1	algebra second unknown quantity.
Y1	y-shaped thing.
Y2	Yttrium.
-y1	forming adjectives:
-y1	from nouns and adjectives, meaning: a full of; having the quality of
-y1	addicted to
-y1	from verbs, meaning ‘inclined to’, ‘apt to’
-y2	forming diminutive nouns, pet names, etc.
-y3	forming nouns denoting state, condition, or quality
Yacht	light sailing-vessel.
Yacht	larger usu. Power-driven vessel for cruising.
Yacht	Race or cruise in a yacht.
Yachtsman	person who sails yachts.
Yack	Trivial or unduly persistent conversation.
Yack	Engage in this.
Yah	expressing derision or defiance.
Yahoo	Bestial person.
Yak	Long-haired tibetan ox.
Yale lock	Propr. Type of lock with a revolving barrel, used for doors etc.
Yam	a tropical or subtropical climbing plant.
Yam	edible starchy tuber of this.
Yam	us sweet potato.
Yammer	Or dial.
Yammer	lament, wail, grumble.
Yammer	voluble talk.
Yammer	Utter a yammer.
Yang	the active male principle of the universe
Yank	Often derog. American.
Yank	Pull with a jerk.
Yankee	often derog.
Yankee	us inhabitant of new england or of the northern states.
Yap	bark shrilly or fussily.
Yap	Talk noisily, foolishly, or complainingly.
Yap	Sound of yapping.
Yap	in sense
Yarborough	Whist or bridge hand with no card above a
Yard1	unit of linear measure (3 ft.,
Yard1	.9144 metre).
Yard1	this length of material.
Yard1	square or cubic yard.
Yard1	spar slung across a mast for a sail to hang from.
Yard1	(in
Yard1	; foll. By of)
Yard1	great length.
Yard2	piece of enclosed ground, esp. Attached to a building or used for a particular purpose.
Yard2	austral. Garden of a house.
Yardage	Number of yards of material etc.
Yard-arm	Either end of a ship's yard.
Yardie	member of a jamaican or w. Indian gang engaging in organized crime, esp. Drug-trafficking.
Yardstick	standard of comparison.
Yardstick	measuring rod a yard long, usu. Divided into inches etc.
Yarmulke	skullcap worn by jewish men.
Yarn	spun thread, esp. For knitting, weaving, etc.
Yarn	Story, traveller's tale, anecdote.
Yarn	Tell yarns.
Yarrow	Perennial plant, esp. Milfoil.
Yashmak	Veil concealing the face except the eyes, worn by some muslim women.
Yaw	Fail to hold a straight course; go unsteadily.
Yaw	Yawing of a ship etc. From its course.
Yawl	kind of ship's boat or sailing- or fishing-boat.
Yawn	open the mouth wide and inhale, esp. When sleepy or bored.
Yawn	gape, be wide open.
Yawn	act of yawning.
Yawn	Boring idea, activity, etc.
Yaws	pl.
Yaws	Contagious tropical skin-disease with large red swellings.
Yb	Ytterbium.
Y chromosome	sex chromosome occurring only in male cells.
Yd	yard
Ye1	Of *thou1
Ye2	Pseudo-archaic
Yea	yes.
Yea	indeed
Yea	Utterance of ‘yea’; ‘yes’ vote.
Yeah	Yes.
Year	time occupied by the earth in one revolution round the sun, approx.
Year	651/4 days.
Year	period of twelve months, starting at any point
Year	(in
Year	) Age, time of life
Year	(usu. In
Year	Very long time.
Year	group of students entering college etc. In the same academic year.
Yearbook	Annual publication dealing with events or aspects of the
Yearbook	year.
Yearling	Animal between one and two years old.
Yearly	done, produced, or occurring once a year.
Yearly	of or lasting a year.
Yearly	Once a year.
Yearn	Be filled with longing, compassion, or tenderness.
Yeast	Greyish-yellow fungus obtained esp. From fermenting malt liquors and used as a fermenting agent, to raise bread, etc.
Yeasty	of, like, or tasting of yeast; frothy.
Yeasty	in a ferment.
Yeasty	working like yeast.
Yeasty	Light and superficial.
Yell	Loud sharp cry; shout.
Yell	Cry, shout.
Yellow	of the colour of buttercups, lemons, egg-yolks, etc.
Yellow	having a yellow skin or complexion.
Yellow	Cowardly.
Yellow	yellow colour or pigment.
Yellow	yellow clothes or material.
Yellow	Turn yellow.
Yellow	Yellowness
Yellow	Yellowy
Yellow-belly	Coward.
Yellow card	Card shown by the referee to a football-player being cautioned.
Yellow fever	Tropical virus disease with fever and jaundice.
Yellow flag	Flag displayed by a ship in quarantine.
Yellowhammer	Bunting of which the male has a yellow head, neck, and breast.
Yellow pages	pl. Propr. Telephone directory on yellow paper, listing and classifying business subscribers.
Yellow pepper	Ripe yellow fruit of the capsicum plant.
Yellow spot	Point of acutest vision in the retina.
Yellow streak	Trait of cowardice.
Yelp	Sharp shrill cry as of a dog in pain or excitement.
Yelp	Utter a yelp.
Yen1	chief monetary unit of japan.
Yen2	Longing or yearning.
Yen2	feel a longing.
Yeoman	esp. Hist. Man holding and cultivating a small landed estate.
Yeoman	member of the yeomanry force.
Yeoman of the guard	Member of the sovereign's bodyguard.
Yeomanry	body or class of yeomen.
Yeomanry	hist. Volunteer cavalry force raised from the yeoman class.
Yeoman warder	a “beefeater” at the tower of london.
Yes	indicating that the answer to the question is affirmative, the statement etc. Made is correct, the request or command will be complied with, or the person summoned or addressed is present.
Yes	indeed? Is that so?
Yes	what do you want?
Yes	utterance of the word yes.
Yes	affirmation or assent.
Yes	‘yes’ vote.
Yes-man	Weakly acquiescent person.
Yesterday	on the day before today.
Yesterday	in the recent past.
Yesterday	the day before today.
Yesterday	the recent past.
Yesteryear	or rhet.
Yesteryear	last year.
Yesteryear	the recent past.
Yet	as late as, or until, now or then
Yet	(with neg. Or
Yet	) So soon as, or by, now or then
Yet	again; in addition
Yet	in the remaining time available
Yet	Even
Yet	nevertheless; and or but in spite of that.
Yet	But at the same time; but nevertheless.
Yew	dark-leaved evergreen tree bearing berry-like cones.
Yew	its wood.
Y-fronts	Propr. Men's or boys' briefs with a y-shaped seam at the front.
Yha	Youth hostels association.
Yid	offens. Jew.
Yiddish	Language used by jews in or from europe, orig.
Yiddish	german dialect with words from hebrew etc.
Yiddish	Of this language.
Yield	produce or return as a fruit, profit, or result.
Yield	give up; surrender, concede.
Yield	surrender; submit; defer to.
Yield	(as yielding
Yield	) Compliant; submissive; soft and pliable.
Yield	give right of way to
Yield	(foll.
Yin	the passive female principle of the universe
Yippee	Expressing delight or excitement.
Ymca	Young men's christian association.
Yob	lout, hooligan.
Yodel	sing with melodious inarticulate sounds and frequent changes between falsetto and normal voice in the manner of swiss mountain-dwellers.
Yodel	Yodelling cry.
Yoga	hindu system of meditation and asceticism designed to effect reunion with the universal spirit.
Yoga	system of physical exercises and breathing control used in yoga.
Yoghurt	semi-solid sourish food made from milk fermented by added bacteria.
Yogi	devotee of yoga.
Yoicks	Cry used by fox-hunters to urge on the hounds.
Yoke	wooden crosspiece fastened over the necks of two oxen etc. And attached to the plough or wagon to be pulled.
Yoke	pair
Yoke	object like a yoke in form or function, e.g.
Yoke	wooden shoulder-piece for carrying a pair of pails, the top section of a garment from which the rest hangs.
Yoke	sway, dominion, or servitude.
Yoke	bond of union, esp. Of marriage.
Yoke	put a yoke on.
Yoke	couple or unite
Yoke	link
Yoke	to
Yoke	match or work together.
Yokel	Rustic; country bumpkin.
Yolk	Yellow inner part of an egg.
Yom kippur	Most solemn religious fast day of the jewish year, day of atonement.
Yon	Literary
Yon	dial. Yonder.
Yonder	Over there; at some distance in that direction; in the place indicated.
Yonder	Situated yonder.
Yonks	a long time
Yoo-hoo	Used to attract a person's attention.
York	Cricket bowl out with a yorker.
Yorker	Cricket ball that pitches immediately under the bat.
Yorkist	Hist. Follower of the house of york, esp. In the wars of the roses.
Yorkist	Of the house of york.
Yorkshire pudding	Baked batter eaten with roast beef.
Yorkshire terrier	Small long-haired blue and tan kind of terrier.
You	(obj. You;
You	Your, yours)
You	the person or persons addressed.
You	(as
You	With a noun) in an exclamatory statement
You	one, a person, people
You'd	you had.
You'd	you would.
You'll	You will; you shall.
Young	not far advanced in life, development, or existence; not yet old.
Young	a immature, inexperienced.
Young	youthful.
Young	of or characteristic of youth
Young	representing young people
Young	a distinguishing a son from his father
Young	as a familiar or condescending form of address
Young	distinguishing one person from another of the same name
Young	Offspring, esp. Of animals.
Young person	Law person aged between
Young person	4 and
Young person	7 years.
Youngster	Child, young person.
Your	of or belonging to you.
Your	Often derog. Much talked of; well known
You're	You are.
Yours	the one or ones belonging to you
Yours	your letter (yours of the
Yours	0th).
Yours	introducing a formula ending a letter
Yourself	a emphat. Form of *you.
Yourself	refl. Form of *you.
Yourself	in your normal state of body or mind
Youth	being young; period between childhood and adult age.
Youth	vigour, enthusiasm, inexperience, or other characteristic of this period.
Youth	young man.
Youth	(as
Youth	) Young people collectively
Youth club	Place for young people's leisure activities.
Youthful	Young or still having the characteristics of youth.
Youthful	Youthfulness
Youth hostel	Any of a chain of cheap lodgings for holiday-makers, esp. Walkers and cyclists.
You've	You have.
Yowl	Loud wailing cry of or as of a cat or dog in distress.
Yowl	Utter a yowl.
Yo-yo	toy consisting of a pair of discs with a deep groove between them in which string is attached and wound, and which can be made to fall and rise.
